%
%
% Run:009   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
  21600.00586       -0.0110      0.003916 
  21600.00586       -0.0068      0.001303 
  21600.00586        0.0026      0.000000 
  21900.00586       -0.0433      0.030351 
  21900.00586       -0.0173      0.007156 
  21900.00586       -0.0021      0.004471 
  21900.00586       -0.0046      0.000000 
  22200.00586       -0.0862      0.073501 
  22200.00586       -0.0322      0.033812 
  22200.00586       -0.0124      0.008807 
  22200.00586       -0.0064      0.000000 
  22500.00586       -0.1297      0.129973 
  22500.00586       -0.0745      0.071633 
  22500.00586       -0.0330      0.026199 
  22500.00586       -0.0183      0.000000 
  22800.00586       -0.1731      0.171176 
  22800.00586       -0.1267      0.119244 
  22800.00586       -0.0747      0.058552 
  22800.00586       -0.0532      0.000000 
  23100.00586       -0.2157      0.207995 
  23100.00586       -0.1735      0.159283 
  23100.00586       -0.1402      0.092131 
  23100.00586       -0.1215      0.000000 
  23400.00586       -0.2583      0.246083 
  23400.00586       -0.2269      0.183644 
  23400.00586       -0.2160      0.105108 
  23400.00586       -0.2190      0.000000 
  23700.00586       -0.3006      0.261936 
  23700.00586       -0.2966      0.195527 
  23700.00586       -0.3018      0.096097 
  23700.00586       -0.3092      0.000000 
  24000.00586       -0.3425      0.250291 
  24000.00586       -0.3732      0.180491 
  24000.00586       -0.3882      0.090916 
  24000.00586       -0.3859      0.000000 
  24300.00586       -0.3837      0.203158 
  24300.00586       -0.4373      0.151701 
  24300.00586       -0.4593      0.084923 
  24300.00586       -0.4660      0.000000 
  24600.00586       -0.4234      0.148786 
  24600.00586       -0.4763      0.112200 
  24600.00586       -0.5186      0.065453 
  24600.00586       -0.5345      0.000000 
  24900.00586       -0.4623      0.108109 
  24900.00586       -0.5070      0.065510 
  24900.00586       -0.5572      0.032062 
  24900.00586       -0.5783      0.000000 
  25200.00586       -0.5007      0.070754 
  25200.00586       -0.5423      0.026258 
  25200.00586       -0.5732      0.000026 
  25200.00586       -0.5901      0.000000 
  25500.00586       -0.5378      0.031660 
  25500.00586       -0.5689      0.001657 
  25500.00586       -0.5792      0.011706 
  25500.00586       -0.5755      0.000000 
  25800.00586       -0.5737      0.013005 
  25800.00586       -0.5794      0.011209 
  25800.00586       -0.5743      0.003907 
  25800.00586       -0.5677      0.000000 
  26100.00586       -0.6084      0.019769 
  26100.00586       -0.5817      0.000625 
  26100.00586       -0.5682      0.000231 
  26100.00586       -0.5702      0.000000 
  26400.00586       -0.6419      0.059315 
  26400.00586       -0.5939      0.025928 
  26400.00586       -0.5741      0.004599 
  26400.00586       -0.5688      0.000000 
  26700.00586       -0.6749      0.107905 
  26700.00586       -0.6276      0.059914 
  26700.00586       -0.5906      0.021620 
  26700.00586       -0.5755      0.000000 
  27000.00586       -0.7066      0.141447 
  27000.00586       -0.6687      0.100971 
  27000.00586       -0.6232      0.051229 
  27000.00586       -0.6051      0.000000 
  27300.00586       -0.7367      0.170484 
  27300.00586       -0.7026      0.134578 
  27300.00586       -0.6765      0.079209 
  27300.00586       -0.6611      0.000000 
  27600.00586       -0.7656      0.200583 
  27600.00586       -0.7429      0.152834 
  27600.00586       -0.7366      0.088622 
  27600.00586       -0.7401      0.000000 
  27900.00586       -0.7934      0.209694 
  27900.00586       -0.7955      0.159218 
  27900.00586       -0.8038      0.079253 
  27900.00586       -0.8119      0.000000 
  28200.00586       -0.8197      0.193106 
  28200.00586       -0.8528      0.143094 
  28200.00586       -0.8700      0.071170 
  28200.00586       -0.8705      0.000000 
  28500.00586       -0.8444      0.147197 
  28500.00586       -0.8983      0.111723 
  28500.00586       -0.9229      0.064401 
  28500.00586       -0.9281      0.000000 
  28800.00586       -0.8669      0.090817 
  28800.00586       -0.9216      0.072914 
  28800.00586       -0.9612      0.045205 
  28800.00586       -0.9782      0.000000 
  29100.00586       -0.8877      0.047468 
  29100.00586       -0.9337      0.027006 
  29100.00586       -0.9836      0.013372 
  29100.00586       -1.0027      0.000000 
  29400.00586       -0.9070      0.009477 
  29400.00586       -0.9494      0.013617 
  29400.00586       -0.9828      0.018064 
  29400.00586       -1.0002      0.000000 
  29700.00586       -0.9245      0.030000 
  29700.00586       -0.9580      0.040250 
  29700.00586       -0.9712      0.033088 
  29700.00586       -0.9715      0.000000 
  30000.00586       -0.9399      0.054693 
  30000.00586       -0.9519      0.054873 
  30000.00586       -0.9502      0.028823 
  30000.00586       -0.9430      0.000000 
  30300.00586       -0.9535      0.053697 
  30300.00586       -0.9356      0.050458 
  30300.00586       -0.9250      0.023047 
  30300.00586       -0.9255      0.000000 
  30600.00586       -0.9652      0.025561 
  30600.00586       -0.9249      0.028085 
  30600.00586       -0.9080      0.021153 
  30600.00586       -0.9066      0.000000 
  30900.00586       -0.9756      0.019215 
  30900.00586       -0.9316      0.000418 
  30900.00586       -0.9023      0.008188 
  30900.00586       -0.8890      0.000000 
  31200.00586       -0.9844      0.052447 
  31200.00586       -0.9492      0.036828 
  31200.00586       -0.9077      0.017029 
  31200.00586       -0.8917      0.000000 
  31500.00586       -0.9910      0.076995 
  31500.00586       -0.9613      0.069925 
  31500.00586       -0.9321      0.044266 
  31500.00586       -0.9170      0.000000 
  31800.00586       -0.9958      0.102638 
  31800.00586       -0.9737      0.089139 
  31800.00586       -0.9663      0.057547 
  31800.00586       -0.9647      0.000000 
  32100.00586       -0.9990      0.116338 
  32100.00586       -0.9973      0.095310 
  32100.00586       -1.0043      0.051392 
  32100.00586       -1.0141      0.000000 
  32400.00586       -1.0004      0.103186 
  32400.00586       -1.0276      0.085164 
  32400.00586       -1.0446      0.040106 
  32400.00586       -1.0481      0.000000 
  32700.00586       -0.9999      0.065137 
