%
%
% Run:002   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev   
%       [s]           [m]      
%
  42600.00391       -0.0211 
  43200.00391        0.0002 
  43200.00391        0.0071 
  43200.00391        0.0118 
  43200.00391        0.0137 
  43200.00391        0.0146 
  43200.00391        0.0159 
  43800.00391        0.0868 
  43800.00391        0.0732 
  43800.00391        0.0610 
  43800.00391        0.0522 
  43800.00391        0.0464 
  43800.00391        0.0437 
  44400.00391        0.1731 
  44400.00391        0.1504 
  44400.00391        0.1309 
  44400.00391        0.1161 
  44400.00391        0.1072 
  44400.00391        0.1042 
  45000.00391        0.2585 
  45000.00391        0.2464 
  45000.00391        0.2339 
  45000.00391        0.2228 
  45000.00391        0.2154 
  45000.00391        0.2134 
  45600.00391        0.3421 
  45600.00391        0.3475 
  45600.00391        0.3526 
  45600.00391        0.3568 
  45600.00391        0.3588 
  45600.00391        0.3584 
  46200.00391        0.4231 
  46200.00391        0.4439 
  46200.00391        0.4635 
  46200.00391        0.4800 
  46200.00391        0.4914 
  46200.00391        0.4967 
  46800.00391        0.5006 
  46800.00391        0.5259 
  46800.00391        0.5472 
  46800.00391        0.5635 
  46800.00391        0.5740 
  46800.00391        0.5766 
  47400.00391        0.5739 
  47400.00391        0.5847 
  47400.00391        0.5940 
  47400.00391        0.6004 
  47400.00391        0.6030 
  47400.00391        0.6040 
  48000.00391        0.6425 
  48000.00391        0.6319 
  48000.00391        0.6225 
  48000.00391        0.6158 
  48000.00391        0.6130 
  48000.00391        0.6124 
  48600.00391        0.7066 
  48600.00391        0.6864 
  48600.00391        0.6678 
  48600.00391        0.6534 
  48600.00391        0.6438 
  48600.00391        0.6400 
  49200.00391        0.7657 
  49200.00391        0.7534 
  49200.00391        0.7417 
  49200.00391        0.7304 
  49200.00391        0.7219 
  49200.00391        0.7195 
  49800.00391        0.8193 
  49800.00391        0.8243 
  49800.00391        0.8283 
  49800.00391        0.8324 
  49800.00391        0.8364 
  49800.00391        0.8372 
  50400.00391        0.8666 
  50400.00391        0.8881 
  50400.00391        0.9086 
  50400.00391        0.9256 
  50400.00391        0.9360 
  50400.00391        0.9402 
  51000.00391        0.9070 
  51000.00391        0.9339 
  51000.00391        0.9563 
  51000.00391        0.9723 
  51000.00391        0.9821 
  51000.00391        0.9849 
  51600.00391        0.9400 
  51600.00391        0.9510 
  51600.00391        0.9601 
  51600.00391        0.9676 
  51600.00391        0.9722 
  51600.00391        0.9742 
  52200.00391        0.9656 
  52200.00391        0.9549 
  52200.00391        0.9469 
  52200.00391        0.9412 
  52200.00391        0.9380 
  52200.00391        0.9369 
  52800.00391        0.9844 
  52800.00391        0.9667 
  52800.00391        0.9486 
  52800.00391        0.9336 
  52800.00391        0.9237 
  52800.00391        0.9200 
  53400.00391        0.9959 
  53400.00391        0.9844 
  53400.00391        0.9736 
  53400.00391        0.9640 
  53400.00391        0.9570 
  53400.00391        0.9549 
  54000.00391        1.0001 
  54000.00391        1.0054 
  54000.00391        1.0110 
  54000.00391        1.0166 
  54000.00391        1.0210 
  54000.00391        1.0222 
  54600.00391        0.9968 
  54600.00391        1.0203 
  54600.00391        1.0402 
  54600.00391        1.0557 
  54600.00391        1.0655 
  54600.00391        1.0694 
  55200.00391        0.9854 
  55200.00391        1.0103 
  55200.00391        1.0322 
  55200.00391        1.0477 
  55200.00391        1.0570 
  55200.00391        1.0595 
  55800.00391        0.9662 
  55800.00391        0.9748 
  55800.00391        0.9822 
  55800.00391        0.9894 
  55800.00391        0.9944 
  55800.00391        0.9964 
  56400.00391        0.9394 
  56400.00391        0.9295 
  56400.00391        0.9207 
  56400.00391        0.9136 
  56400.00391        0.9096 
  56400.00391        0.9083 
  57000.00391        0.9059 
  57000.00391        0.8889 
  57000.00391        0.8725 
  57000.00391        0.8584 
  57000.00391        0.8483 
  57000.00391        0.8444 
  57600.00391        0.8658 
  57600.00391        0.8553 
  57600.00391        0.8453 
  57600.00391        0.8375 
  57600.00391        0.8328 
  57600.00391        0.8315 
  58200.00391        0.8193 
  58200.00391        0.8257 
  58200.00391        0.8321 
  58200.00391        0.8375 
  58200.00391        0.8415 
  58200.00391        0.8427 
  58800.00391        0.7666 
  58800.00391        0.7891 
  58800.00391        0.8081 
  58800.00391        0.8226 
  58800.00391        0.8308 
  58800.00391        0.8337 
  59400.00391        0.7077 
  59400.00391        0.7294 
  59400.00391        0.7485 
  59400.00391        0.7627 
  59400.00391        0.7723 
  59400.00391        0.7755 
  60000.00391        0.6430 
  60000.00391        0.6494 
  60000.00391        0.6557 
  60000.00391        0.6618 
  60000.00391        0.6656 
  60000.00391        0.6670 
  60600.00391        0.5733 
  60600.00391        0.5641 
  60600.00391        0.5552 
  60600.00391        0.5476 
  60600.00391        0.5428 
  60600.00391        0.5410 
  61200.00391        0.4996 
  61200.00391        0.4830 
  61200.00391        0.4673 
  61200.00391        0.4542 
  61200.00391        0.4456 
  61200.00391        0.4426 
  61800.00391        0.4223 
  61800.00391        0.4114 
  61800.00391        0.4019 
  61800.00391        0.3951 
  61800.00391        0.3907 
  61800.00391        0.3891 
  62400.00391        0.3422 
  62400.00391        0.3478 
  62400.00391        0.3525 
  62400.00391        0.3558 
  62400.00391        0.3583 
  62400.00391        0.3593 
  63000.00391        0.2593 
  63000.00391        0.2781 
  63000.00391        0.2941 
  63000.00391        0.3066 
  63000.00391        0.3138 
  63000.00391        0.3161 
  63600.00391        0.1741 
  63600.00391        0.1921 
  63600.00391        0.2087 
  63600.00391        0.2218 
  63600.00391        0.2305 
  63600.00391        0.2334 
  64200.00391        0.0873 
  64200.00391        0.0936 
  64200.00391        0.0992 
  64200.00391        0.1039 
  64200.00391        0.1072 
  64200.00391        0.1086 
  64800.00391       -0.0002 
  64800.00391       -0.0088 
  64800.00391       -0.0166 
  64800.00391       -0.0232 
  64800.00391       -0.0278 
  64800.00391       -0.0297 
  65400.00391       -0.0876 
  65400.00391       -0.1046 
  65400.00391       -0.1197 
  65400.00391       -0.1318 
  65400.00391       -0.1394 
  65400.00391       -0.1419 
  66000.00781       -0.1740 
  66000.00781       -0.1867 
  66000.00781       -0.1982 
  66000.00781       -0.2068 
  66000.00781       -0.2121 
  66000.00781       -0.2139 
  66600.00781       -0.2588 
  66600.00781       -0.2582 
  66600.00781       -0.2574 
  66600.00781       -0.2574 
  66600.00781       -0.2577 
  66600.00781       -0.2579 
  67200.00781       -0.3417 
  67200.00781       -0.3289 
  67200.00781       -0.3179 
  67200.00781       -0.3090 
  67200.00781       -0.3033 
  67200.00781       -0.3013 
  67800.00781       -0.4222 
  67800.00781       -0.4075 
  67800.00781       -0.3938 
  67800.00781       -0.3826 
  67800.00781       -0.3751 
  67800.00781       -0.3726 
  68400.00781       -0.4998 
  68400.00781       -0.4931 
  68400.00781       -0.4867 
  68400.00781       -0.4817 
  68400.00781       -0.4788 
  68400.00781       -0.4777 
  69000.00781       -0.5737 
  69000.00781       -0.5803 
  69000.00781       -0.5864 
  69000.00781       -0.5912 
  69000.00781       -0.5942 
  69000.00781       -0.5953 
  69600.00781       -0.6432 
  69600.00781       -0.6603 
  69600.00781       -0.6748 
  69600.00781       -0.6859 
  69600.00781       -0.6928 
  69600.00781       -0.6952 
  70200.00781       -0.7075 
  70200.00781       -0.7237 
  70200.00781       -0.7382 
  70200.00781       -0.7494 
  70200.00781       -0.7565 
  70200.00781       -0.7589 
  70800.00781       -0.7662 
  70800.00781       -0.7726 
  70800.00781       -0.7784 
  70800.00781       -0.7834 
  70800.00781       -0.7865 
  70800.00781       -0.7877 
  71400.00781       -0.8190 
  71400.00781       -0.8144 
  71400.00781       -0.8095 
  71400.00781       -0.8052 
  71400.00781       -0.8025 
  71400.00781       -0.8014 
  72000.00781       -0.8658 
  72000.00781       -0.8547 
  72000.00781       -0.8444 
  72000.00781       -0.8357 
  72000.00781       -0.8298 
  72000.00781       -0.8278 
  72600.00781       -0.9061 
  72600.00781       -0.8980 
  72600.00781       -0.8905 
  72600.00781       -0.8848 
  72600.00781       -0.8812 
  72600.00781       -0.8799 
  73200.00781       -0.9398 
  73200.00781       -0.9429 
  73200.00781       -0.9451 
  73200.00781       -0.9467 
  73200.00781       -0.9477 
  73200.00781       -0.9481 
  73800.00781       -0.9663 
  73800.00781       -0.9808 
  73800.00781       -0.9932 
  73800.00781       -1.0024 
  73800.00781       -1.0077 
  73800.00781       -1.0094 
  74400.00781       -0.9853 
  74400.00781       -1.0036 
  74400.00781       -1.0195 
  74400.00781       -1.0321 
  74400.00781       -1.0403 
  74400.00781       -1.0430 
  75000.00781       -0.9965 
  75000.00781       -1.0096 
  75000.00781       -1.0211 
  75000.00781       -1.0302 
  75000.00781       -1.0363 
  75000.00781       -1.0385 
  75600.00781       -1.0001 
  75600.00781       -1.0030 
  75600.00781       -1.0049 
  75600.00781       -1.0058 
  75600.00781       -1.0061 
  75600.00781       -1.0060 
  76200.00781       -0.9960 
  76200.00781       -0.9893 
  76200.00781       -0.9825 
  76200.00781       -0.9765 
  76200.00781       -0.9725 
  76200.00781       -0.9712 
  76800.00781       -0.9846 
  76800.00781       -0.9749 
  76800.00781       -0.9660 
  76800.00781       -0.9591 
  76800.00781       -0.9548 
  76800.00781       -0.9534 
  77400.00781       -0.9659 
  77400.00781       -0.9631 
  77400.00781       -0.9602 
  77400.00781       -0.9577 
  77400.00781       -0.9559 
  77400.00781       -0.9552 
  78000.00781       -0.9399 
  78000.00781       -0.9485 
  78000.00781       -0.9555 
  78000.00781       -0.9602 
  78000.00781       -0.9630 
  78000.00781       -0.9641 
  78600.00781       -0.9067 
  78600.00781       -0.9227 
  78600.00781       -0.9368 
  78600.00781       -0.9480 
  78600.00781       -0.9551 
  78600.00781       -0.9575 
  79200.00781       -0.8664 
  79200.00781       -0.8821 
  79200.00781       -0.8961 
  79200.00781       -0.9073 
  79200.00781       -0.9146 
  79200.00781       -0.9172 
  79800.00781       -0.8194 
  79800.00781       -0.8275 
  79800.00781       -0.8340 
  79800.00781       -0.8386 
  79800.00781       -0.8413 
  79800.00781       -0.8423 
  80400.00781       -0.7660 
  80400.00781       -0.7625 
  80400.00781       -0.7588 
  80400.00781       -0.7556 
  80400.00781       -0.7532 
  80400.00781       -0.7523 
  81000.00781       -0.7068 
  81000.00781       -0.6957 
  81000.00781       -0.6856 
  81000.00781       -0.6777 
  81000.00781       -0.6729 
  81000.00781       -0.6713 
  81600.00781       -0.6426 
  81600.00781       -0.6335 
  81600.00781       -0.6251 
  81600.00781       -0.6183 
  81600.00781       -0.6140 
  81600.00781       -0.6124 
  82200.00781       -0.5736 
  82200.00781       -0.5741 
  82200.00781       -0.5742 
  82200.00781       -0.5739 
  82200.00781       -0.5734 
  82200.00781       -0.5732 
  82800.00781       -0.5003 
  82800.00781       -0.5107 
  82800.00781       -0.5200 
  82800.00781       -0.5275 
  82800.00781       -0.5325 
  82800.00781       -0.5342 
  83400.00781       -0.4230 
  83400.00781       -0.4375 
  83400.00781       -0.4507 
  83400.00781       -0.4613 
  83400.00781       -0.4682 
  83400.00781       -0.4706 
  84000.00781       -0.3423 
  84000.00781       -0.3522 
  84000.00781       -0.3608 
  84000.00781       -0.3673 
  84000.00781       -0.3713 
  84000.00781       -0.3726 
  84600.00781       -0.2588 
  84600.00781       -0.2572 
  84600.00781       -0.2555 
  84600.00781       -0.2539 
  84600.00781       -0.2530 
  84600.00781       -0.2527 
  85200.00781       -0.1734 
  85200.00781       -0.1612 
  85200.00781       -0.1505 
  85200.00781       -0.1422 
  85200.00781       -0.1369 
  85200.00781       -0.1351 
  85800.00781       -0.0868 
  85800.00781       -0.0730 
  85800.00781       -0.0606 
  85800.00781       -0.0507 
  85800.00781       -0.0443 
  85800.00781       -0.0421 
  86400.00781        0.0002 
  86400.00781        0.0064 
  86400.00781        0.0121 
  86400.00781        0.0165 
  86400.00781        0.0195 
  86400.00781        0.0204 
  87000.00781        0.0870 
  87000.00781        0.0821 
  87000.00781        0.0773 
  87000.00781        0.0733 
  87000.00781        0.0706 
  87000.00781        0.0697 
  87600.00781        0.1733 
  87600.00781        0.1611 
  87600.00781        0.1498 
  87600.00781        0.1408 
  87600.00781        0.1350 
  87600.00781        0.1329 
  88200.00781        0.2586 
  88200.00781        0.2488 
  88200.00781        0.2398 
  88200.00781        0.2328 
  88200.00781        0.2284 
  88200.00781        0.2268 
  88800.00781        0.3420 
  88800.00781        0.3433 
  88800.00781        0.3441 
  88800.00781        0.3447 
  88800.00781        0.3450 
  88800.00781        0.3451 
  89400.00781        0.4229 
  89400.00781        0.4355 
  89400.00781        0.4468 
  89400.00781        0.4556 
  89400.00781        0.4612 
  89400.00781        0.4630 
  90000.00781        0.5004 
  90000.00781        0.5170 
  90000.00781        0.5315 
  90000.00781        0.5430 
  90000.00781        0.5504 
  90000.00781        0.5530 
  90600.00781        0.5738 
  90600.00781        0.5839 
  90600.00781        0.5927 
  90600.00781        0.5992 
  90600.00781        0.6033 
  90600.00781        0.6047 
  91200.00781        0.6427 
  91200.00781        0.6407 
  91200.00781        0.6384 
  91200.00781        0.6365 
  91200.00781        0.6351 
  91200.00781        0.6345 
  91800.00781        0.7068 
  91800.00781        0.6962 
  91800.00781        0.6862 
  91800.00781        0.6783 
  91800.00781        0.6733 
  91800.00781        0.6716 
  92400.00781        0.7658 
  92400.00781        0.7569 
  92400.00781        0.7485 
  92400.00781        0.7416 
  92400.00781        0.7370 
  92400.00781        0.7354 
  93000.00781        0.8192 
  93000.00781        0.8209 
  93000.00781        0.8221 
  93000.00781        0.8228 
  93000.00781        0.8231 
  93000.00781        0.8231 
  93600.00781        0.8664 
  93600.00781        0.8796 
  93600.00781        0.8913 
  93600.00781        0.9005 
  93600.00781        0.9065 
  93600.00781        0.9086 
  94200.00781        0.9068 
  94200.00781        0.9243 
  94200.00781        0.9396 
  94200.00781        0.9516 
  94200.00781        0.9590 
  94200.00781        0.9616 
  94800.00781        0.9400 
  94800.00781        0.9510 
  94800.00781        0.9603 
  94800.00781        0.9672 
  94800.00781        0.9715 
  94800.00781        0.9729 
  95400.00781        0.9659 
  95400.00781        0.9642 
  95400.00781        0.9624 
  95400.00781        0.9610 
  95400.00781        0.9600 
  95400.00781        0.9598 
  96000.00781        0.9846 
  96000.00781        0.9746 
  96000.00781        0.9654 
  96000.00781        0.9579 
  96000.00781        0.9531 
  96000.00781        0.9514 
  96600.00781        0.9960 
